activity,time,prop,prop_relative,prop_smooth
Hiking,2023-01-01T03:40:00Z,0,0,0
Hiking,2023-01-01T03:45:00Z,0,0,0
Hiking,2023-01-01T03:50:00Z,0,0,0
Hiking,2023-01-01T03:55:00Z,0,0,0.0026940178651231514
Hiking,2023-01-01T04:00:00Z,4.088369123494177e-6,0.008082053595369454,0.005388035730246303
Hiking,2023-01-01T04:05:00Z,4.088369123494177e-6,0.008082053595369454,0.008082053595369454
Hiking,2023-01-01T04:10:00Z,4.088369123494177e-6,0.008082053595369454,0.008082053595369454
Hiking,2023-01-01T04:15:00Z,4.088369123494177e-6,0.008082053595369454,0.008082053595369454
Hiking,2023-01-01T04:20:00Z,4.088369123494177e-6,0.008082053595369454,0.008082053595369454
Hiking,2023-01-01T04:25:00Z,4.088369123494177e-6,0.008082053595369454,0.01085165044761908
Hiking,2023-01-01T04:30:00Z,8.291434887034103e-6,0.016390844152118333,0.013621247299868708
Hiking,2023-01-01T04:35:00Z,8.291434887034103e-6,0.016390844152118333,0.016390844152118333
Hiking,2023-01-01T04:40:00Z,8.291434887034103e-6,0.016390844152118333,0.016390844152118333
Hiking,2023-01-01T04:45:00Z,8.291434887034103e-6,0.016390844152118333,0.016390844152118333
Hiking,2023-01-01T04:50:00Z,8.291434887034103e-6,0.016390844152118333,0.016390844152118333
Hiking,2023-01-01T04:55:00Z,8.291434887034103e-6,0.016390844152118333,0.016390844152118333
Hiking,2023-01-01T05:00:00Z,8.291434887034103e-6,0.016390844152118333,0.01588301390642498
Hiking,2023-01-01T05:05:00Z,7.520765351635808e-6,0.014867353415038274,0.015375183660731628
Hiking,2023-01-01T05:10:00Z,7.520765351635808e-6,0.014867353415038274,0.014867353415038274
Hiking,2023-01-01T05:15:00Z,7.520765351635808e-6,0.014867353415038274,0.014867353415038274
Hiking,2023-01-01T05:20:00Z,7.520765351635808e-6,0.014867353415038274,0.014867353415038274
Hiking,2023-01-01T05:25:00Z,7.520765351635808e-6,0.014867353415038274,0.014867353415038274
Hiking,2023-01-01T05:30:00Z,7.520765351635808e-6,0.014867353415038274,0.014867353415038274
Hiking,2023-01-01T05:35:00Z,7.520765351635808e-6,0.014867353415038274,0.015920888082018993
Hiking,2023-01-01T05:40:00Z,9.11958125362976e-6,0.01802795741598043,0.016974422748999712
Hiking,2023-01-01T05:45:00Z,9.11958125362976e-6,0.01802795741598043,0.01802795741598043
Hiking,2023-01-01T05:50:00Z,9.11958125362976e-6,0.01802795741598043,0.019666509320283413
Hiking,2023-01-01T05:55:00Z,1.1606203595493356e-5,0.022943613128889376,0.03147184185970695
Hiking,2023-01-01T06:00:00Z,2.703503670461059e-5,0.05344395503425105,0.04327717439913049
Hiking,2023-01-01T06:05:00Z,2.703503670461059e-5,0.05344395503425105,0.053443955034251055
Hiking,2023-01-01T06:10:00Z,2.703503670461059e-5,0.05344395503425105,0.053443955034251055
Hiking,2023-01-01T06:15:00Z,2.703503670461059e-5,0.05344395503425105,0.06327389373804054
Hiking,2023-01-01T06:20:00Z,4.1952687549727093e-05,0.08293377114561952,0.07413656406735508
Hiking,2023-01-01T06:25:00Z,4.351993331498841e-5,0.08603196602219469,0.09846680725797723
Hiking,2023-01-01T06:30:00Z,6.395796001384294e-5,0.12643468460611745,0.11242261230053809
Hiking,2023-01-01T06:35:00Z,6.313164228798825e-5,0.1248011862733021,0.11909616919335136
Hiking,2023-01-01T06:40:00Z,5.364754393616458e-5,0.10605263670063454,0.11389115703400776
Hiking,2023-01-01T06:45:00Z,5.6058973420188934e-5,0.11081964812808662,0.10923064431893592
Hiking,2023-01-01T06:50:00Z,5.6058973420188934e-5,0.11081964812808662,0.11426725974052176
Hiking,2023-01-01T06:55:00Z,6.129097616544002e-5,0.12116248296539203,0.12653022160691008
Hiking,2023-01-01T07:00:00Z,7.466891484121092e-5,0.1476085337272516,0.1390999804860972
Hiking,2023-01-01T07:05:00Z,7.5134501744158e-5,0.14852892476564794,0.14822212775284915
Hiking,2023-01-01T07:10:00Z,7.5134501744158e-5,0.14852892476564794,0.14852892476564794
Hiking,2023-01-01T07:15:00Z,7.5134501744158e-5,0.14852892476564794,0.14630382735767009
Hiking,2023-01-01T07:20:00Z,7.175775370647277e-5,0.1418536325417144,0.16949446435978943
Hiking,2023-01-01T07:25:00Z,1.1032798932308767e-4,0.21810083577200595,0.20990514114644043
Hiking,2023-01-01T07:30:00Z,1.3646065899534403e-4,0.26976095512560094,0.2551691495216916
Hiking,2023-01-01T07:35:00Z,1.404491965668561e-4,0.27764565766746796,0.2750174234868456
Hiking,2023-01-01T07:40:00Z,1.404491965668561e-4,0.27764565766746796,0.28153692852927475
Hiking,2023-01-01T07:45:00Z,1.463544846677708e-4,0.2893194702528883,0.2838391955819308
Hiking,2023-01-01T07:50:00Z,1.4394305518374646e-4,0.2845524588254363,0.2945258221172309
Hiking,2023-01-01T07:55:00Z,1.5666693384575758e-4,0.30970553727336814,0.2828818197461005
Hiking,2023-01-01T08:00:00Z,1.2868385954522863e-4,0.25438746313949706,0.26702995020794024
Hiking,2023-01-01T08:05:00Z,1.1988668391446769e-4,0.23699685021095546,0.2559456599207501
Hiking,2023-01-01T08:10:00Z,1.3984571274226537e-4,0.2764526664117977,0.26674458483226565
Hiking,2023-01-01T08:15:00Z,1.450720178224025e-4,0.2867842378740437,0.285389573687762
Hiking,2023-01-01T08:20:00Z,1.4818181800824986e-4,0.29293181677744456,0.2908826238096443
Hiking,2023-01-01T08:25:00Z,1.4818181800824986e-4,0.29293181677744456,0.3001414338230366
Hiking,2023-01-01T08:30:00Z,1.5912293911327576e-4,0.3145606679142206,0.3089817544342241
Hiking,2023-01-01T08:35:00Z,1.6159765102720283e-4,0.3194527786110072,0.3238023414532938
Hiking,2023-01-01T08:40:00Z,1.7067314263725456e-4,0.3373935778346535,0.3355329323428989
Hiking,2023-01-01T08:45:00Z,1.7692496864481018e-4,0.34975244058303595,0.35581380398522433
Hiking,2023-01-01T08:50:00Z,1.9237535688188976e-4,0.38029539353798353,0.3701144092196677
Hiking,2023-01-01T08:55:00Z,1.9237535688188976e-4,0.38029539353798353,0.3883130697083185
Hiking,2023-01-01T09:00:00Z,2.0454276680196987e-4,0.4043484220489884,0.3982721333304576
Hiking,2023-01-01T09:05:00Z,2.0748896423348996e-4,0.4101725844044008,0.4285767530609832
Hiking,2023-01-01T09:10:00Z,2.38364833495791e-4,0.4712092527295603,0.462605768879185
Hiking,2023-01-01T09:15:00Z,2.561842868435125e-4,0.5064354695035937,0.4961962699753473
Hiking,2023-01-01T09:20:00Z,2.584650061158142e-4,0.5109440876928879,0.51648056185811
Hiking,2023-01-01T09:25:00Z,2.691477298154631e-4,0.5320621283778483,0.5456468642785662
Hiking,2023-01-01T09:30:00Z,3.004462836943895e-4,0.5939343767649629,0.5800871780314635
Hiking,2023-01-01T09:35:00Z,3.107307008514206e-4,0.6142650289515793,0.6059381167871837
Hiking,2023-01-01T09:40:00Z,3.083784198529971e-4,0.6096149446450089,0.6166419133342408
Hiking,2023-01-01T09:45:00Z,3.1669007772177303e-4,0.6260457664061343,0.6217232520857704
Hiking,2023-01-01T09:50:00Z,3.1844200400449693e-4,0.6295090452061682,0.6263352037471822
Hiking,2023-01-01T09:55:00Z,3.153773937706038e-4,0.623450799629244,0.649851126142107
Hiking,2023-01-01T10:00:00Z,3.523772096723629e-4,0.696593533590909,0.661941031879792
Hiking,2023-01-01T10:05:00Z,3.3678932009463975e-4,0.6657787624192231,0.6597302936415105
Hiking,2023-01-01T10:10:00Z,3.120224368230169e-4,0.6168185849143994,0.6453715488876646
Hiking,2023-01-01T10:15:00Z,3.305867644552989e-4,0.6535172993293712,0.6416322211230973
Hiking,2023-01-01T10:20:00Z,3.311146167553646e-4,0.6545607791255212,0.6561289989748621
Hiking,2023-01-01T10:25:00Z,3.3402235736051483e-4,0.6603089184696936,0.674158559653845
